,epochs,Decay,Modes,Loss,Modes_truncated,Loss_truncated,epochs_truncated
0,0.0,0.02691251227887237,1.0,-4.147817688983201e-06,1.0,9.331938385882089e-05,810.0
1,1.0,0.026944381934520843,1.0,-4.037843146388807e-06,1.0,9.332250033847684e-05,811.0
2,2.0,0.02696619875149937,1.0,-3.930617498908667e-06,1.0,9.332556405652228e-05,812.0
3,3.0,0.026978744093376774,1.0,-3.826117286595957e-06,1.0,9.332857628919716e-05,813.0
4,4.0,0.026982460648793616,1.0,-3.724314070281403e-06,1.0,9.333153874165013e-05,814.0
5,5.0,0.026977169673505233,1.0,-3.625174090132844e-06,1.0,9.333445308645571e-05,815.0
6,6.0,0.02696223129948696,1.0,-3.528660065832183e-06,1.0,9.333732059512859e-05,816.0
7,7.0,0.0269369860522975,1.0,-3.4347337377607027e-06,1.0,9.334014202040744e-05,817.0
8,8.0,0.02690109462462793,1.0,-3.343357505821458e-06,1.0,9.334291774150375e-05,818.0
9,9.0,0.026854589219743034,1.0,-3.254494383660409e-06,1.0,9.334564808178136e-05,819.0
10,10.0,0.026797730430963045,1.0,-3.16810688147557e-06,1.0,9.334833361107228e-05,820.0
11,11.0,0.026730842419920804,1.0,-3.08415590703589e-06,1.0,9.33509752594072e-05,821.0
12,12.0,0.026654228657907113,1.0,-3.0026002812692907e-06,1.0,9.335357419499628e-05,822.0
13,13.0,0.02656817000594815,1.0,-2.9233968337382054e-06,1.0,9.335613157731718e-05,823.0
14,14.0,0.026472956040260183,1.0,-2.8465007489868755e-06,1.0,9.335864836126245e-05,824.0
15,15.0,0.02636891025209951,1.0,-2.7718658889901155e-06,1.0,9.336112526391028e-05,825.0
16,16.0,0.026256399211906874,1.0,-2.6994450026318628e-06,1.0,9.336356287284029e-05,826.0
17,17.0,0.0261358316690697,1.0,-2.629189855462217e-06,1.0,9.336596178217273e-05,827.0
18,18.0,0.026007653613065843,1.0,-2.561051333135268e-06,1.0,9.336832266348033e-05,828.0
19,19.0,0.025872341092360914,1.0,-2.494979547135086e-06,1.0,9.337064625218522e-05,829.0
20,20.0,0.025730391487887576,1.0,-2.4309239511773366e-06,1.0,9.337293329375342e-05,830.0
21,21.0,0.025582315367298852,1.0,-2.368833470589071e-06,1.0,9.337518450430825e-05,831.0
22,22.0,0.025428631214754326,1.0,-2.308656644665953e-06,1.0,9.337740056468258e-05,832.0
23,23.0,0.02526986302315148,1.0,-2.2503417769752316e-06,1.0,9.337958213552737e-05,833.0
24,24.0,0.025106538391858516,1.0,-2.1938370843171265e-06,1.0,9.338172987184411e-05,834.0
25,25.0,0.024939184766069062,1.0,-2.139090836789352e-06,1.0,9.338384442646205e-05,835.0
26,26.0,0.024768323304497318,1.0,-2.0860514877976964e-06,1.0,9.338592644196229e-05,836.0
27,27.0,0.02459446159521066,1.0,-2.03466779797915e-06,1.0,9.338797653792703e-05,837.0
28,28.0,0.02441808693060188,1.0,-1.9848889573507562e-06,1.0,9.338999530037328e-05,838.0
29,29.0,0.024239661283040156,1.0,-1.936664706856801e-06,1.0,9.33919832771227e-05,839.0
30,30.0,0.02405961820943951,1.0,-1.8899454570410103e-06,1.0,9.339394097845647e-05,840.0
31,31.0,0.02387836125203052,1.0,-1.844682399905713e-06,1.0,9.339586888222121e-05,841.0
32,32.0,0.023696263234814285,1.0,-1.8008276103924807e-06,1.0,9.339776743031793e-05,842.0
33,33.0,0.023513666086958828,1.0,-1.7583341354318799e-06,1.0,9.339963702654625e-05,843.0
