,epochs,Decay,Modes,Error,Loss
0,0.0,0.03999531645848147,1.0,2.1571910445653457,-0.026270741875143395
1,1.0,0.03983004534784239,1.0,2.146688275971732,-0.025236924175162635
2,2.0,0.03964374428968636,1.0,2.138025991446921,-0.0242473544828394
3,3.0,0.039420725745894405,1.0,2.130744007006485,-0.02330043909562927
4,4.0,0.0391642818990675,1.0,2.1242194246547728,-0.022394676359435137
5,5.0,0.038886583072221224,1.0,2.1181328198853855,-0.021528926214025117
6,6.0,0.0386012791725383,1.0,2.1123237171452325,-0.020701955142871334
7,7.0,0.018763915691722515,1.0,2.1066978829980108,-0.019912280714578578
8,8.0,0.03713030062555103,1.0,2.1011921824894673,-0.0191581955340401
9,9.0,0.037580876164025036,1.0,2.0957409445939703,-0.018802054072413976
10,10.0,0.03735872388178752,1.0,2.0903030470878243,-0.018116652731250654
11,11.0,0.03714708190956967,1.0,2.0848550120302156,-0.017448370366840625
12,12.0,0.03694641777608738,1.0,2.0793766956592092,-0.01680847436513898
13,13.0,0.03675724030740438,1.0,2.0738508781725917,-0.01619547417525437
14,14.0,0.03657880348865738,1.0,2.06826737020831,-0.015607962643543027
15,15.0,0.03641081600466772,1.0,2.0626248737781823,-0.015044610642387393
16,16.0,0.03625636794443993,1.0,2.0569297464814738,-0.014504180922399574
17,17.0,0.03884862764748813,1.0,2.0511929044380564,-0.013985514395279054
18,18.0,0.03618389888437804,1.0,2.0454266550158597,-0.013487478918224296
19,19.0,0.03619503679902317,1.0,2.039662414021557,-0.012973492701403461
20,20.0,0.03620466031506544,1.0,2.033895847306179,-0.012512403161954691
21,21.0,0.036276175759760595,1.0,2.0281363958947347,-0.01206756670502754
22,22.0,0.03641031396083362,1.0,2.022393706275778,-0.011638432873934831
23,23.0,0.036604090439612,1.0,2.0166773461839522,-0.011223756474408124
24,24.0,0.03685347118179273,1.0,2.0109960874929964,-0.010822402686076251
25,25.0,0.037155606165723776,1.0,2.005357225704682,-0.010433378419106892
26,26.0,0.03237115986342155,1.0,1.9997663380673156,-0.01005582920770073
27,27.0,0.03756020492063004,1.0,1.9942260008944173,-0.009689013409653426
28,28.0,0.038008369643827734,1.0,1.9887338277116846,-0.00938036446973853
29,29.0,0.03851523006922438,1.0,1.9832918230338341,-0.009034530848859287
30,30.0,0.039084949897465755,1.0,1.9779007517265244,-0.008697547161081773
31,31.0,0.017812566792259066,1.0,1.972561907499154,-0.008368888316638783
32,32.0,0.04019447274844966,1.0,1.967276659688027,-0.008048060505546595
33,33.0,0.040981614177706585,1.0,1.9620339375964393,-0.007905969393951343
34,34.0,0.0474380084147667,1.0,1.9568416264516135,-0.007594453726597179
35,35.0,0.04283076095202313,1.0,1.9517083683367766,-0.007289470114445196
36,36.0,0.046623538288749856,1.0,1.9466580786625352,-0.006951684117304333
37,37.0,0.0452897759400186,1.0,1.9416833708533576,-0.00666018085004055
38,38.0,0.046547786362790784,1.0,1.9368060397921847,-0.0063567335466527455
39,39.0,0.04793989583157858,1.0,1.9320348712367934,-0.006075213498564708
40,40.0,0.04948746564770094,1.0,1.927378213328344,-0.00579885763536533
41,41.0,0.042989961483967803,1.0,1.9228430579053946,-0.005527368582832677
42,42.0,0.05259369355807809,1.0,1.918433595067837,-0.005260437979498962
43,43.0,0.05098761671256406,1.0,1.9141452093182563,-0.005039050669339889
44,44.0,0.05676784694932173,1.0,1.9099778189886203,-0.004780819059685582
45,45.0,0.05938490837673449,1.0,1.9059221979403265,-0.004543116435056297
46,46.0,0.06234101896500275,1.0,1.9019706816455448,-0.004292331749909886
47,47.0,0.06570639429528675,1.0,1.8981129722770238,-0.004044782370817013
48,48.0,0.06957012475425106,1.0,1.8943385655656697,-0.003800248753757931
49,49.0,0.07404281909684644,1.0,1.890638697172109,-0.0035584906377699368
50,50.0,0.07926355359140204,1.0,1.887007770158506,-0.003319248067880322
51,51.0,0.1010545313812149,1.0,1.8834440377768797,-0.003082255386760421
52,52.0,0.09411950649288017,1.0,1.8799524747242868,-0.0028472582267237458
53,53.0,0.11269989111352081,1.0,1.8765386223919507,-0.0025733687664309403
54,54.0,0.11569669309263426,1.0,1.8732119417177957,-0.0023420503554522827
55,55.0,0.130222255922089,1.0,1.8700015232354326,-0.0020921816247801398
56,56.0,0.14912976339861517,1.0,1.8669188045248735,-0.0018633600776023105
57,57.0,0.13688687793292437,1.0,1.8639756714541318,-0.001635542579004731
58,58.0,0.20085605319994682,1.0,1.8611818644082385,-0.0014085594698511708
59,59.0,0.25156926073884944,1.0,1.8585266503839961,-0.0012280975930883764
60,60.0,0.2999317961401945,1.0,1.8560224134302699,-0.0010039386026505991
61,61.0,0.48107777217698505,1.0,1.8536652442143382,-0.000779597209738593
62,62.0,0.9264743135610863,1.0,1.851439106214824,-0.0005762642311040152
63,63.0,12.595065712393577,1.0,1.8493296099137793,-0.0003527904524150438
64,64.0,1.0864662626204367,1.0,1.8473183385089642,-0.00012941497926120422
65,65.0,0.44137448060022394,1.0,1.8453858022797711,9.394683357103171e-05
66,66.0,0.43143557042746816,1.0,1.843513662448714,0.00031740889299694216
67,67.0,0.2546047907445539,1.0,1.8416819824775539,0.0004971777772358814
68,68.0,0.174482796213685,1.0,1.8399091780303265,0.000770676492215768
69,69.0,0.19105287578453872,1.0,1.8381857933104366,0.0009955171769980363
70,70.0,0.14612306943343942,1.0,1.8365078434365554,0.0011858200899052364
71,71.0,0.12843800530384955,1.0,1.8349031279943073,0.0014363020805689846
72,72.0,0.11418270924094781,1.0,1.8333552343312798,0.0016627214994483545
73,73.0,0.10282547638761654,1.0,1.8318731848191165,0.0018909336915853758
74,74.0,0.06972437340349581,1.0,1.8304665118382426,0.0021199186870652924
75,75.0,0.08696491712598506,1.0,1.8291416898640946,0.0023497147824560775
76,76.0,0.0716937808083318,1.0,1.8278752636227158,0.0025194650384571375
77,77.0,0.07531412791418755,1.0,1.8266754512507668,0.002748530433266388
78,78.0,0.0703000351107595,1.0,1.8255188764890617,0.002952909319219712
79,79.0,0.065913138838816,1.0,1.8243827375882637,0.003184007591838813
80,80.0,0.062051275935400434,1.0,1.8232356578143927,0.0034159979007696017
81,81.0,0.07252044680482715,1.0,1.8220424379673879,0.003648830405273924
82,82.0,0.054592737875090495,1.0,1.8207759432197512,0.0038824945672897852
83,83.0,0.05806057109121853,1.0,1.8194353666644434,0.004174648370187905
84,84.0,0.04922866674441445,1.0,1.8179980018994768,0.004408949422344365
85,85.0,0.047084275279262774,1.0,1.8164895161773194,0.0046725890782088695
86,86.0,0.045112650231940804,1.0,1.8149046691442567,0.004908419210263202
